PathID	ReceptorRound	LigandRound	SBGN-Inhibition	ReceptorSquare	LigandSquare	Receptor	mim-covalent-bond	mim-gap	mim-translocation	SBGN-Production	mim-branching-left	mim-branching-right	SBGN-Catalysis	mim-cleavage	mim-necessary-stimulation	mim-modification	TBar	mim-transcription-translation	mim-binding	mim-inhibition	mim-stimulation	mim-catalysis	mim-conversion	Arrow
WP5352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	18	5	4	10
WP5402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	13	6	7	6	3	10
WP5348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	29	3	13	6	7	5
WP5406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	10	0	0	1
WP5405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0
WP4940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
WP5407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	31	2	5	2	0	12
WP4942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	5	4	0	0	5
WP5408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	14	8	4	17
WP4950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	7	2	1	1
WP4949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	28	6	20	17	17	5
WP5376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	5	4	4
WP5287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	98	0	0	0	0	0	0
WP5345	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	5	12	17	5	6	39
WP4905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	5	5	2
WP4657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	11	25	22	28	22
WP5221	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	1	8	2	5	5	3	16
WP5222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	14	25	9	8	11
WP5223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	4	4	3	7
WP5224	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	16	20	17	38	44	20	43
WP4906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	2	5	16	17	4
WP3879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38
WP5365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	5	3	5	9	9	9
WP5380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	35	11	23	11	16	17
WP5400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	7	0	0	0
WP5064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	35	48	0
WP4932	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	5	38	9	16	14	8	11
WP5401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	6	4	4	4
WP5346	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	7	27	10	11	13
WP5412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	8	0	0	0
WP5343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	0	17	11
WP5035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
WP554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	3	0	9	9	8
WP528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	12
WP5104	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	6	0	2	5	12	8
WP4233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13
WP4876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	3	4
WP5293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	0	31
WP4298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	6	46	1	58	54
WP5420	0	0	0	0	0	0	0	1	0	0	0	0	0	2	9	50	2	0	16	45	47	221	297	80
WP236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WP4629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	32	10
WP5356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	12	119	3	7	5
WP699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
WP2324	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	15	95
WP4962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	14	2	11	1
WP5136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0
WP106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	70
WP2328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	77
WP244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
WP5202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	6	1	3	11
WP4480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
WP4524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	24	30	0
WP2059	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	3	12	0	11	2	122
WP5124	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	3	12	0	11	2	121
WP521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2
WP715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
WP5213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	4	18
WP4661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	0
WP3925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	102	0	178
WP5029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	8	0	0
WP1403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	15	0	0	0	43
WP3678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22
WP2447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	2	7	51
WP2263	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	7	11	5	12	37	13	0	46
WP138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	81
WP1539	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3	0	1	0	21
WP3915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	1	0	3	4	63
WP5036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	1	2	3	37
WP5113	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	4	0	1	0	2	2	28
WP3926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	4	5
WP2864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
WP1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	67
WP384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	22
WP254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	0	0	49
WP678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	9
WP5155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	57	28
WP2640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
WP2118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
WP5233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	5	23
WP5441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	6
WP2586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	10	2	2	0	0	9	61
WP2873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	11
WP694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	3
WP4707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	1
WP3878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	26
WP2516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	41	0	18	6
WP3875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
WP5331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	16	0	0	0
WP4923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	14	0
WP4788	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	1	3	1	0
WP23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	143
WP5234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	6	40	0	4	1
WP4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10
WP3676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	33
WP3891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	1
WP696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	19
WP4389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	5	1	10
WP3604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550
WP550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15
WP4584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	30	8
WP4583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	15	18
WP4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	34	37	1
WP5179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	1
WP5031	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	14	22	5
WP2828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	1	0	0	0	6	33
WP4580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	6	5
WP272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	0	21
WP3876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8
WP3927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	28
WP1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	7
WP2380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	6	0	0	0	220
WP4262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	6	3	0	1	0	40
WP5055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	41	1	0	0	43
WP2366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5
WP3633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	1
WP5142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	15	2	4	4
WP536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	16	1	0	52
WP4191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	2	1
WP4874	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	91	0	3	0	0	0	59
WP4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	2	2
WP4585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	10
WP3869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	8	8	9	0
WP3845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	10
WP3874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	10
WP4562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
WP2795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	67
WP2406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11
WP5344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	13	3	3	14
WP5313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	4	4
WP688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
WP5097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	3	0	0	0	150
WP3679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	1	0	20
WP179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	11	0	0	0	40
WP2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	2	50
WP2029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	1	42
WP5284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	1	10
WP5417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP4561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	1	0	0	0	4
WP4493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
WP4918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	12
WP4519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	24	6
WP3929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	6	0	0	53
WP5238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	14	1	3	2
WP5329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	1	0	47	24	69
WP197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	16	2
WP4804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	19	4
WP4718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	54	21	42
WP5304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	5	119	52	126
WP5193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	20	21
WP4216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	1	5	29
WP5283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	5	2	45
WP4352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP3594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP5322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	34	0	6	0	0	18	48
WP4523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38	31	10
WP4018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	2	30
WP5205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	45	0	2	1	69
WP2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	25	0
WP1604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	10
WP5117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	15	16	5
WP2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2
WP2636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	44
WP5148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0	2	1
WP545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	11
WP558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1	0	0	49
WP5090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	22	48	17	22	18
WP2806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	452	0	0	43	17	6
WP5101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	7	7	3	10
WP2875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1
WP4484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11
WP4818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0
WP3286	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	17
WP5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7
WP1946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	25	16	20
WP2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	28	0	5	0	0	1	129
WP4927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	6	0	4	7	5
WP4891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WP5256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
WP5145	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	27
WP5190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	23	10
WP4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	45	4
WP530	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	33
WP477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WP3585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	8	8	0
WP4655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	2	2	20
WP2942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5
WP4153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	0
WP2291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20
WP3893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
WP3892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
WP5053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	22	0	1	0
WP2491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0
WP5219	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	10
WP2895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	4	0
WP4931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
WP5195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	5
WP5175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	19	17
WP5176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	46	55
WP4259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	36	6
WP5178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	18	31
WP5173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	17
WP4875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	3	0	0	1
WP5389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
WP710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	1	0	69
WP707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	76
WP4016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	85	31	0	51
WP3959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	67	14	3	46
WP531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
WP4946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
WP5154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	20	33
WP2436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	14	33	0
WP2855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	42
WP4799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3
